offer_id,creation_date,address1,postal_code1,address2,postal_code2,price,distance,transport_type,route_type
100,2025-03-28,Gdańsk,80-001,Warszawa,00-001,756.38,191.1,naczepa,Krajowy
101,2025-04-12,Wilno,01100,Wrocław,50-001,1206.26,456.1,bus,Import
102,2025-05-12,Poznań,60-001,Kraków,30-001,989.75,353.3,bus,Krajowy
103,2025-03-26,Warszawa,00-001,Wrocław,50-001,997.77,425.6,bus,Krajowy
104,2025-02-23,Bratysława,81101,Gdańsk,80-001,356.96,110.6,solo,Import
105,2025-05-02,Gdańsk,80-001,Berlin,10115,1358.71,335.6,naczepa,Eksport
106,2025-03-21,Wrocław,50-001,Bratysława,81101,1534.34,641.3,bus,Eksport
107,2025-03-16,Poznań,60-001,Warszawa,00-001,825.18,223.2,naczepa,Krajowy
108,2025-05-15,Warszawa,00-001,Bratysława,81101,399.64,164.4,bus,Eksport
109,2025-04-13,Poznań,60-001,Wrocław,50-001,1989.89,552.7,solo,Krajowy
110,2025-04-27,Gdańsk,80-001,Poznań,60-001,1528.67,331.0,naczepa,Krajowy
111,2025-04-26,Wrocław,50-001,Praga,11000,1166.84,293.8,naczepa,Eksport
112,2025-04-24,Poznań,60-001,Kraków,30-001,1617.19,392.2,naczepa,Krajowy
113,2025-04-23,Poznań,60-001,Warszawa,00-001,289.36,97.2,bus,Krajowy
114,2025-04-18,Wilno,01100,Poznań,60-001,1517.92,395.2,naczepa,Import
115,2025-04-24,Wilno,01100,Warszawa,00-001,1660.65,520.8,solo,Import
116,2025-04-05,Kraków,30-001,Bratysława,81101,2246.08,606.1,solo,Eksport
117,2025-05-13,Warszawa,00-001,Praga,11000,945.83,412.4,bus,Eksport
118,2025-03-09,Kraków,30-001,Gdańsk,80-001,670.62,235.6,bus,Krajowy
119,2025-05-07,Kraków,30-001,Berlin,10115,1596.11,599.2,bus,Eksport
120,2025-03-25,Wrocław,50-001,Kraków,30-001,2009.06,469.4,naczepa,Krajowy
121,2025-03-20,Warszawa,00-001,Kraków,30-001,1168.41,262.9,naczepa,Krajowy
122,2025-03-08,Wilno,01100,Wrocław,50-001,1323.67,413.1,solo,Import
123,2025-04-08,Bratysława,81101,Wrocław,50-001,1896.97,493.5,naczepa,Import
124,2025-04-26,Wilno,01100,Poznań,60-001,380.74,125.6,solo,Import
125,2025-03-28,Poznań,60-001,Kraków,30-001,1597.16,491.8,solo,Krajowy
126,2025-04-15,Wilno,01100,Wrocław,50-001,1173.75,454.0,bus,Import
127,2025-03-01,Gdańsk,80-001,Kraków,30-001,1960.08,696.4,bus,Krajowy
128,2025-03-20,Gdańsk,80-001,Warszawa,00-001,1602.1,384.4,naczepa,Krajowy
129,2025-02-25,Wilno,01100,Gdańsk,80-001,487.92,185.2,bus,Import
130,2025-04-21,Praga,11000,Wrocław,50-001,633.91,201.9,solo,Import
131,2025-04-03,Warszawa,00-001,Berlin,10115,1041.92,286.3,solo,Eksport
132,2025-03-18,Wrocław,50-001,Poznań,60-001,389.83,98.3,naczepa,Krajowy
133,2025-05-11,Bratysława,81101,Warszawa,00-001,1103.37,471.6,bus,Import
134,2025-03-08,Gdańsk,80-001,Bratysława,81101,2509.7,659.3,naczepa,Eksport
135,2025-05-16,Gdańsk,80-001,Praga,11000,2073.07,590.8,solo,Eksport
136,2025-05-16,Wilno,01100,Gdańsk,80-001,1780.71,557.9,solo,Import
137,2025-02-23,Gdańsk,80-001,Bratysława,81101,1012.8,263.0,naczepa,Eksport
138,2025-05-19,Kraków,30-001,Poznań,60-001,936.62,253.9,solo,Krajowy
139,2025-03-26,Warszawa,00-001,Praga,11000,1607.48,368.9,naczepa,Eksport
140,2025-04-30,Wrocław,50-001,Berlin,10115,1086.62,269.6,naczepa,Eksport
141,2025-05-03,Warszawa,00-001,Wrocław,50-001,1092.4,280.2,naczepa,Krajowy
142,2025-04-05,Poznań,60-001,Bratysława,81101,1925.12,529.7,solo,Eksport
143,2025-03-24,Berlin,10115,Warszawa,00-001,2385.73,620.7,naczepa,Import
144,2025-04-21,Gdańsk,80-001,Praga,11000,1038.51,367.4,bus,Eksport
145,2025-05-07,Praga,11000,Wrocław,50-001,833.6,248.4,solo,Import
146,2025-05-17,Poznań,60-001,Wrocław,50-001,393.3,114.1,solo,Krajowy
147,2025-05-10,Wrocław,50-001,Praga,11000,2574.21,696.6,solo,Eksport
148,2025-05-05,Wrocław,50-001,Warszawa,00-001,569.68,210.6,bus,Krajowy
149,2025-04-29,Warszawa,00-001,Wrocław,50-001,2048.52,530.1,naczepa,Krajowy
150,2025-04-27,Bratysława,81101,Gdańsk,80-001,1214.99,325.0,solo,Import
151,2025-03-16,Gdańsk,80-001,Warszawa,00-001,451.58,101.5,naczepa,Krajowy
152,2025-05-15,Praga,11000,Wrocław,50-001,1108.35,259.8,naczepa,Import
153,2025-04-26,Gdańsk,80-001,Wrocław,50-001,2794.34,621.2,naczepa,Krajowy
154,2025-05-15,Gdańsk,80-001,Kraków,30-001,1014.2,365.5,bus,Krajowy
155,2025-05-12,Warszawa,00-001,Poznań,60-001,1003.04,230.9,naczepa,Krajowy
156,2025-04-22,Warszawa,00-001,Praga,11000,422.33,138.4,solo,Eksport
157,2025-02-22,Gdańsk,80-001,Praga,11000,2079.17,604.1,solo,Eksport
158,2025-03-31,Praga,11000,Warszawa,00-001,465.99,177.7,bus,Import
159,2025-04-27,Praga,11000,Kraków,30-001,2407.61,591.0,naczepa,Import
